Country,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Iran,0.0,0.0,0.0,0.0,0.245,0.02,0.007,0.0,650.835,20.304,2.143,155.214,12.695,5.624,0.46,13.572,1.183,120.992,9.896,0.164,0.464,277.57,280.24,10.35,-1.195,-33.086,33449.172,2.055,-1.018,-27.677,3219.553,263.33,32897.086,2690.681,93.966,98.349,6.124,106.185,1840.195,2526.077,206.61,22498.787,4.615,80.973,22441.127,1835.479,73.726,67.263,182.39,-8.632,-3.605,35.687,161.999,13.25,436.324,4.728,1.304,-10.173,-5.409,45.156,206.747,16.91,552.086,6.034,1.651,-2.67,-0.962,-14.109,-1.547,9.033,42.792,3.5,110.435,1.249,0.33,-13.966,-136.005,837.791,687.852,56.26,10243.086,3.56,72.065,25629.094,2096.225,20.076,30.623,0.052,0.016,0.0,-65.021,-0.097,0.199,0.0,0.636,0.006,0.0,0.002,3426.3,2735.836,-9.087,-3.862,36.123,163.955,13.41,441.651,4.785,1.32,114.286,0.002,0.004,0.0,0.0,0.049,0.0,0.0,-29.5,-0.162,0.38,1.712,0.14,4.642,0.05,0.014
Italy,23.432,2.94,257.099,15.486,321.917,19.39,6.932,0.853,398.606,-6.551,-10.052,2380.683,143.395,717.216,43.2,-5.814,-0.039,10.464,0.63,15.445,7.902,326.08,279.7,17.251,2.976,52.446,30129.141,0.896,5.836,82.551,2835.825,170.81,24853.418,1496.994,61.069,82.49,9.062,53.438,643.154,1840.854,110.88,10677.787,-5.285,-3.599,1070.791,64.497,39.642,35.44,111.49,-22.218,-35.973,122.631,756.065,45.54,2035.951,16.282,6.757,-6.631,-30.106,317.772,1807.816,108.89,5275.722,38.931,17.51,46.38,14.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.834,39.165,710.444,277.755,16.73,11794.949,-5.112,-3.428,1056.208,63.618,5.981,39.148,77.898,25.57,6.18,3.781,2.72,424.519,102.602,1293.281,9.142,2.21,4.292,4643.641,1814.766,-6.631,-30.106,317.772,1807.816,108.89,5275.722,38.931,17.51,2.85,1.352,61.783,380.855,22.94,1025.73,8.202,3.404,-2.203,-1.145,39.974,246.377,14.84,663.661,5.306,2.203
Japan,21.066,0.656,29.641,3.772,223.888,28.49,2.766,0.07,578.049,0.884,12.245,10986.017,1397.981,2747.642,349.64,-10.455,-0.927,62.363,7.936,33.942,26.063,1030.12,1030.12,20.264,-1.239,-67.287,42152.383,1.14,-2.658,-134.358,6849.302,871.58,38672.41,4921.101,84.61,91.744,-4.837,-60.345,1187.176,3280.919,417.5,9329.412,-1.118,-0.371,257.639,32.785,40.529,22.133,595.46,4.965,9.607,230.963,674.023,85.77,1815.021,8.326,4.306,18.462,67.071,442.829,1245.885,158.54,3479.97,15.39,8.256,0.0,0.0,0.0,11.692,11.692,35.52,4.52,91.88,0.439,0.218,-3.561,-86.259,2335.943,820.741,104.44,18356.982,-3.933,-0.318,61.125,7.778,10.139,43.549,89.322,28.485,0.0,20.558,15.413,223.85,0.0,701.937,2.765,0.0,1.665,8095.186,5363.93,15.16,55.379,431.138,1210.364,154.02,3388.09,14.952,8.038,46.679,29.221,93.016,271.432,34.54,730.963,3.353,1.734,4.165,0.482,14.065,41.021,5.22,110.529,0.507,0.262
Malaysia,29.667,1.034,145.517,4.521,24.14,0.75,0.5,0.406,669.176,13.342,23.814,6511.232,202.296,2042.883,63.47,-1.158,-0.192,527.298,16.383,42.282,18.15,150.12,150.11,13.786,1.545,16.959,35874.363,1.627,1.364,14.392,4350.662,135.17,34421.121,1069.424,90.047,95.949,4.765,21.306,468.398,2251.774,69.96,15076.146,6.473,46.719,24734.113,768.46,46.606,42.025,100.45,4.004,1.228,37.497,448.037,13.92,1206.899,9.273,3.364,9.409,2.567,45.151,480.868,14.94,1453.241,9.953,4.051,0.01,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.155,-30.728,398.729,56.005,1.74,12833.743,8.028,27.819,12049.192,374.354,1.159,35.774,2.397,0.751,0.0,8.369,0.185,24.172,0.0,77.162,0.5,0.0,0.215,4831.53,1114.575,9.409,2.567,45.151,480.868,14.94,1453.241,9.953,4.051,20.264,0.12,0.735,8.69,0.27,23.663,0.18,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,6.346,0.117,16.261,1.954,63.504,7.63,2.459,0.089,534.88,-0.195,-0.288,1228.885,147.65,280.982,33.76,-5.282,-4.456,665.11,79.913,10.878,6.695,309.68,310.35,14.748,-1.128,-25.153,18355.58,1.151,-0.711,-14.63,2091.554,251.3,17006.129,2043.285,80.973,92.648,2.453,19.345,807.829,1550.646,186.31,6723.511,-6.536,-33.529,3990.594,479.469,60.032,36.629,166.0,-20.571,-22.172,83.19,257.096,30.89,692.384,9.953,3.772,-5.195,-10.523,162.136,491.469,59.05,1349.451,19.027,7.352,-0.67,-0.216,19.633,4.76,29.917,96.38,11.58,248.999,3.731,1.357,-3.004,-33.687,1087.805,259.925,31.23,9053.732,-6.99,-111.446,12342.917,1483.0,10.063,49.324,22.981,8.397,0.0,3.697,0.686,69.89,0.0,191.267,2.706,0.0,1.042,2583.024,2205.421,-9.526,-15.283,132.219,395.09,47.47,1100.451,15.296,5.995,-8.508,-0.054,0.545,1.665,0.2,4.532,0.064,0.025,36.085,6.141,23.55,72.826,8.75,196.008,2.819,1.068
Netherlands,-14.444,-0.628,218.341,3.721,289.887,4.94,4.533,0.363,553.078,22.184,23.361,7550.369,128.667,2311.469,39.39,0.0,0.0,0.0,0.0,36.141,12.54,117.74,108.99,10.965,0.955,9.701,60209.23,1.348,0.542,5.242,5352.938,91.22,57064.965,972.45,83.696,94.778,-1.57,-5.389,337.889,2688.205,45.81,19827.869,-24.026,-145.083,26921.824,458.778,42.031,32.932,60.28,-17.177,-0.054,0.25,5.281,0.09,14.649,0.083,0.024,6.643,4.459,53.582,1042.772,17.77,3144.266,16.304,5.222,8.75,7.432,-0.324,-0.098,10.538,239.421,4.08,618.406,3.743,1.027,-2.455,-12.73,505.895,353.263,6.02,29686.729,-4.777,-1.113,1302.154,22.19,5.523,49.306,15.756,4.94,0.0,-1.542,-0.247,289.887,0.0,924.604,4.533,0.0,1.536,6395.71,1026.032,8.418,4.557,43.043,803.351,13.69,2525.86,12.561,4.195,41.256,0.859,2.985,65.137,1.11,175.177,1.018,0.291,30.23,4.626,20.332,443.046,7.55,1193.089,6.927,1.982
Nigeria,0.0,0.0,0.0,0.0,0.109,0.02,0.06,0.0,529.695,0.0,0.0,0.0,0.0,0.0,0.0,2.174,0.008,1.929,0.355,0.0,0.0,33.17,33.17,0.0,-5.458,-26.511,2495.833,0.44,0.0,0.0,145.112,26.7,0.0,0.0,80.494,0.0,0.0,0.0,0.0,145.112,26.7,0.0,18.965,75.828,2585.129,475.653,80.494,0.0,17.57,0.0,0.0,0.0,34.892,6.42,0.0,19.355,0.0,0.0,0.0,0.0,35.164,6.47,0.0,19.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.243,-41.194,6678.664,1228.846,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.109,0.0,0.0,0.06,0.0,0.0,180.276,459.223,0.0,0.0,0.0,35.164,6.47,0.0,19.506,0.0,0.0,0.0,0.0,0.163,0.03,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,0.0,0.0,0.0,0.0,10.191,2.15,1.906,0.0,431.776,-1.335,-0.734,257.207,54.263,0.711,0.15,-1.7,-0.3,82.355,17.374,0.133,6.651,113.25,112.79,14.922,5.145,39.924,3867.193,0.807,5.778,38.975,334.219,70.51,3382.317,713.565,62.514,87.462,4.423,15.475,365.342,165.901,35.0,1731.73,0.174,0.609,1661.264,350.476,31.031,44.78,48.7,1.245,0.564,88.274,164.147,34.63,418.422,30.703,10.82,1.455,0.949,102.294,200.408,42.28,484.876,37.486,12.538,0.46,0.406,-7.814,-1.015,11.125,20.524,4.33,52.733,3.839,1.364,8.985,24.234,293.961,167.607,35.36,1393.38,-3.902,-2.342,273.374,57.674,31.35,36.031,0.254,2.15,0.0,0.0,0.254,10.191,0.0,1.206,1.906,0.0,0.031,534.628,815.859,2.769,1.964,91.169,179.884,37.95,432.143,33.647,11.175,60.354,0.383,1.028,1.801,0.38,4.874,0.337,0.126,91.02,0.763,1.612,3.745,0.79,7.641,0.7,0.198
Philippines,13.486,0.556,45.424,4.68,3.397,0.35,0.425,1.054,544.66,9.143,11.316,1311.081,135.082,356.105,36.69,-2.922,-1.591,513.007,52.856,44.527,30.436,82.4,82.4,20.131,9.678,39.164,4307.64,0.582,10.292,35.805,596.517,61.46,3724.175,383.707,74.587,86.455,-5.992,-2.118,33.225,183.245,18.88,322.475,-3.704,-1.072,270.559,27.876,22.913,7.486,44.88,-5.168,-1.419,23.335,84.052,8.66,226.483,10.51,5.258,7.143,3.359,60.115,203.239,20.94,583.465,25.413,13.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.093,26.607,215.399,57.167,5.89,2090.62,-36.518,-8.768,147.942,15.243,7.148,48.533,29.712,11.39,11.04,8.638,2.29,110.549,107.152,288.376,13.823,13.398,6.695,799.757,443.822,7.143,3.359,60.115,203.239,20.94,583.465,25.413,13.545,738.736,0.328,0.373,1.359,0.14,3.621,0.17,0.084,392.209,1.604,2.015,7.279,0.75,19.562,0.91,0.454
Poland,-6.456,-0.522,196.312,7.568,257.826,9.94,6.05,0.686,826.172,-1.565,-9.001,14682.258,566.047,3385.457,130.52,-1.962,-12.326,15979.919,616.076,79.44,51.318,163.97,164.3,15.496,1.254,13.659,28610.195,1.178,0.718,7.347,3673.111,141.61,26717.104,1030.028,86.19,93.383,0.501,0.852,170.988,165.745,6.39,4435.125,-1.165,-0.505,1110.999,42.833,3.889,15.502,135.74,-16.079,-0.98,4.934,47.467,1.83,127.967,1.114,0.447,7.584,6.312,72.985,588.538,22.69,1893.092,13.81,6.617,-0.33,-0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.584,15.496,292.993,121.91,4.7,7599.722,-4.368,-0.524,297.643,11.475,2.861,26.563,31.089,9.94,0.0,-2.385,-0.76,257.826,0.0,806.39,6.05,0.0,2.819,4261.649,1103.013,7.584,6.312,72.985,588.538,22.69,1893.092,13.81,6.617,714.286,0.135,0.153,1.556,0.06,3.982,0.037,0.014,41.417,8.44,29.24,281.689,10.86,758.441,6.61,2.651
Russia,0.0,0.0,0.0,0.0,3.318,0.48,0.045,0.0,444.354,5.196,52.917,7405.596,1071.356,1095.955,158.55,5.509,113.16,14980.012,2167.134,14.852,13.509,1055.89,1067.55,14.554,-1.579,-127.207,54818.855,2.294,-2.045,-145.499,4860.219,703.12,48182.344,6970.462,65.863,87.894,-3.203,-135.234,4086.748,3661.892,529.76,28249.074,-1.136,-67.156,40398.566,5844.396,49.624,51.532,474.37,-3.115,-17.341,452.402,1161.207,167.99,3127.164,15.736,5.705,2.667,18.292,960.093,2519.072,364.43,6636.511,34.137,12.106,-11.66,-1.104,8.14,35.223,505.127,1351.159,195.47,3491.622,18.31,6.369,-3.369,-63.181,1812.358,102.372,14.81,12527.673,1.327,82.942,43776.973,6333.144,1.387,22.853,1.262,0.481,0.0,-13.203,-0.199,3.326,0.0,8.722,0.045,0.0,0.016,7379.291,7930.555,-3.012,-16.931,454.966,1167.912,168.96,3144.888,15.827,5.737,109.75,0.47,0.904,2.35,0.34,6.247,0.032,0.011,54.035,0.138,0.399,1.037,0.15,2.756,0.014,0.005
